ID,Plant latin name,Family name,Common name,Crude drug latin name,Cultured tissue and efficient propagation,Plant culture and efficient production method,Sakuyo hyohon,Class of Coldness,Class of Warmness,Light condition,Preference of Soil,Requirement of Shading
58,Sinomenium acutum Rehder et Wilson,Menispermaceae,Orient vine,SINOMENI CAULIS ET RHIZOMA,,,,Ⅳ～Ⅴ,100～170,Ⅱ～Ⅴ,,
145,Solanum tuberosum Linné,Solanaceae,Patato,KOI,,,,,,,,
160,Sophora flavescens Aiton,Leguminosae,Sophora Root,SOPHORAE RADIX,,,,,,,,
47,Swertia japonica Makino,Gentianaceae,,SWERTIAE HERBA,Swertia_japonica-Ref-1,Plant culture,,II〜V,75〜140,"II, III",,
111,Tribulus terrestris Linné,Zygophyllaceae,,TRIBULI FRUCTUS,,,,,,,,
15,Trichosanthes bracteata (Lam.) Voigt,Cucurbitaceae,,TRICHOSANTHIS SEMEN,,Plant culture,,Ⅳ～Ⅵ,120以上,Ⅲ～Ⅴ,,
67,Uncaria rhynchophylla (Miq.) Miq.,Rubiaceae,,UNCARIAE UNCIS CAM RAMLUS,Uncaria_rhynchophylla-Ref-1,Plant culture,,Ⅳ，Ⅴ,110以上,Ⅲ～Ⅴ,,
148,Ursus arctos Linné,Ursidae,Brown bear,FEL URSI,,,,,,,,
14,Valeriana fauriei Briquet,Valerianaceae,Japanese valerian,VALERIANAE RADIX,,Plant culture,,I〜IV,45〜120,II〜V,,
34,Zanthoxylum piperitum (L.) DC.,Rutaceae,Japanese pepper,ZANTHOXYLI FRUCTUS,"Zanthoxylum_piperitum-Ref-1, Zanthoxylum_piperitum-Ref-2",Plant culture,,IV 〜 VI,100 〜 140,II 以上,,
143,Zea mays Linné,Gramineae,Corn,KOI,,,,,,,,
105,Zingiber officinale Roscoe,Zingiberaceae,Ginger,"ZINGIBERIS RHIZOMA, ZINGIBERIS PROCESSUM RHIZOMA","Zingiber_officinale-Ref-1, Zingiber_officinale-Ref-2, Zingiber_officinale-Ref-3, Zingiber_officinale-Ref-4, Zingiber_officinale-Ref-5, Zingiber_officinale-Ref-6, Zingiber_officinale-Ref-7, Zingiber_officinale-Ref-8",Plant culture,Herbarium,,,,,
171,Zizyphus jujuba Miller var. inermis Rehder,Rhamnaceae,,ZIZYPHI FRUCTUS,,,,,,,,
119,Zizyphus jujuba Miller var. spinosa Hu ex H. F. Chou,Rhamnaceae,,ZIZYPHI SEMEN,Zizｙphu_ jujuba-Ref-1,,,,,,,
