Plant ID,Plant latin name,Tissue literature ID,Tissue literature name,Detail page ID,Literature code,Reference,Summary,Objectives,Materials,Explant,Initial culture,Shoot multiplication,Rooting,Acclimation,Planting,Cultivation conditions,Traints of regenerants,Ingredients analyzed,Extraction,Analitical methods,Notes,Original code,Publication,Explant sterilization,Traints of regenerant,Ingredients produced
51,Angelica acutiloba Kitagawa,42,Angelica_acutiloba-Ref-3,42,Angelica_acutiloba-Ref-3,"HL Lay, 1999薬用植物之開発興利用検討会論文集: 169-176 (1999)",,Studies on the production and the improvement in quality in different cultivation conditions.(Somatic embryogenesis and plant regeneration from immature and mature seeds in Angelica acutiloba Kitagawa.,Mature seeds of Angelica acutiloba Kitagawa,Seeds were collected 30 days after flowering and stripped the seed coats.,N6 medium supplemented with 0.1mg/L Picloram and 0.5mg/L BA was best for induction of somatic embryogenesis and subsequent plant regeneration.,<--,,,,,,,,,,,,,,
120,Aralia cordata Thunberg,61,Aralia_cordata-Ref-1,61,Aralia_cordata-Ref-1,西原隆彦・林義明・松本恭子 園芸学会雑誌67: 81-86 (1998),"The ability of calli induced from leaf disks and immature seeds of Aralia cordata Thunb. to undergo somatic embryogenesis was investigated. Calli of ‘Aichi-bozu’ which were induced by leaf disk culture all produced somatic embryos on solid MS medium (Murashige and Skog, 1962) modified as follows: NH4NO3 (1/4 of original) and 68.435 g･liter-1 (0.2M) sucrose, supplemented with 1.0 mg･liter-1 2,4-D. However, of the calli derived from the leaf disks of ‘Iseshiro’ and ‘Murasaki-menoshiro’ less than 65% regenerated embryos on all media. Of the calli derived from immature seeds (3.0 mm length) of ‘Iseshiro’ and ‘Murasaki-menoshiro’ 100% and 88.9%, respectivery, produced somatic embryos. In the former the calli were induced on the solid MS medium supplemented with 0.5 or 1.0 mg･liter-1 2,4-D, whereas the latter contained 1.0 mg･liter-1 2,4-D. From these results,we founds that in ‘Aichi-bozu’ the callus from leaf disks can produced somatic embryos at a very high frequency on MS medium with a low concentration of NH4NO3 and a high concentration of sucrose, supplemented with 2,4-D, whwewas, in ‘Iseshiro’ and ‘Murasaki-menoshiro’, the calli from immature seeds cultured on MS medium supplemented with 2,4-D produced somatic embryos at high frequency. These somatic embryos grew into complete plants.",masspropagation of Arakia cordata using embryogenesis.,"Aralia cordata ‘Aichi-bozu’, ‘Iseshiro’ and ‘Murasaki-menoshiro’obtained from Highland Cold Climate Branch Station in Gumma Horticultural Experiment Station",leaf and immature seed,"‘Aichi-bozu’ (Callus induction from leaf disk) : MS medium with 1/4 of NH4NO3 , 68.435 g･liter-1 sucrose and 0.7% Agar, supplemented with 1.0 mg･liter-1 2,4-D, ‘Iseshiro’ and ‘Murasaki-menoshiro’ (Callus induction from immature seed): MS medium with 30 g･liter-1 sucrose and 0.7% Agar, supplemented with 1.0 mg･liter-1 2,4-D.",（somatic embryo induction): MS medium with 30 gliter-1sucrose and 0.7% Agar,（growth of somatic embryo): MS medium with 30 gliter-1sucrose and 0.7% Agar,,,,,,,,,,,,,
6,Astragalus membranaceus Bunge,76,Astragalus_membranaceus-Ref-1,76,Astragalus_membranaceus-Ref-1,"藤岡ら, 生薬学雑誌 37(4), 405-411 (1983)","Shoot formation of Astragalus membranaceus from shoot tips was successfully conducted on Murashige and Skoog (MS) medium containing kinetin (10-5M). Root differentiation from the shoot was observed on MS medium containing NAA (10-6M). The plantlets were successfully transplanted to sterilized ""kanumatuti."" Thin layer chromatography of MeOH extract from the callus, shoots and adventitious root showed that they contained those flavonoids known to be contained in Astragali Radix, but that only a few of them contained astragalosides.",,,,,,,,,,,astragaloside，3´-hydroxyformononetin 7-O-β-D-glucoside，astraisoflavan 7-O-β-D-glucoside，astrapterocarpan 7-O-β-D-glucoside，astraisoflavan,,,,,,,,
56,Atractylodes japonica Koidzumi ex Kitamura,43,Atractylodes_japonica-Ref-1,43,Atractylodes_japonica-Ref-1,"Hatana K et al, Planta Med. 56: 131-132 (1990)",,,,,,,,,,,,,,,,,,,,
48,Atractylodes lancea De Candole,12,Atractylodes_lancea-Ref-1,12,Atractylodes_lancea-Ref-1,"Shoyama Y et al, Shoyakugaku Zasshi 41(4): 313-317 (1987)","Shoot tips of Atractylodes lancea DC. were cultured for 4 weeks on a medium supplemented with BAP(1 and 2.5 ppm) and IAA(1 ppm). When the shoots were subcultured for 7 weeks on a medium supplemented with 5 ppm BAP and 1 ppm IAA, they produced approximately 11 shoots per segment. On the ohter hand, when the medium was supplemented with BAP(2.5 ppm) and NAA(1 ppm), multiple shoot formation and tissue mass formation were induced. Subsequent transfer of these shoots to a medium containing auxins(IAA, NAA and IBA) or to a hormone free medium induced rooting. When the medium contained GA instead of auxins or when it was added to the hormone free medium, the thichening of tuber was observed. Its transplantation was quite successful.",,,,,,,,,,,,,,,,,,,
48,Atractylodes lancea De Candole,70,Atractylodes_lancea-Ref-2,70,Atractylodes_lancea-Ref-2,"Hiraoka N et al, Plant Cell Reports 3:85-87 (1984)",Shoot cultures of Atractylodes lancea DC. (Compositae) have been established by inoculating the flower bud on Linsmaier-Skoog's medium supplemented with 10-5M naphthaleneacetic acid and l0-5M 6-benzylaminopurine. Shoots were multiplied on a medium containing 10-6M 6-benzylaminopurine. Propagated shoots rooted on a medium devoid of any plant growth regulators were transferred to potting soil and finally to the field.,"The rhizome of Atractylodes lancea DC. (Compositae) is one of the crude drugs prescribed clinically for diuretic, stomachic and sudorific purposes in traditional Chinese medicine. Since the plant bears no seeds in Japan, division of rhizomes is a usual procedure for its propagation. Only a few pieces of the rhizome ready for transplantation can be obtained from a 3- to 4-year-old plant by this method. Recently, Shoyama et al. (1983) reported the clonal multiplication of this plant through meristem culture. We have attempted independently to establish a procedure for rapid clonal propagation, starting from flower buds. This paper describes the results of these experiments.","Flower buds ( 10 mm long, 3 mm in diameter) were collected late in July or early in August from plants of about one month before the first flowering.","Flower buds ( 10 mm long, 3 mm in diameter)","The 40 bud segments were placed on LS containing one of four combinations of NAA and BAP at concentrations of 10-6M and/or 10-5M. After one month of incubation, a single shoot was induced from the explants on the medium supplemented with 10-5M NAA and 10-5M BAP.","The effect of various kinds of cytokinins on shoot multiplication during four successive subcultures was investigated. Each one shoot explant consistently produced an additional shoot during the 4-week incubation period due to the addition of 10-6M BAP to the basal medium. The other cytokinins, kinetin, 6-isopentenylaminopurine or zeatin, were inferior to BAP in shoot multiplication. Therefore, we chose LS + 10-6M BAP as the optimal shoot-multiplication medium.","For initiation of roots, multiple shoots were transferred to LS media of x l, x 2 I and x 4 dilution containing no growth regulators, 10-6M indoleacetic acid or NAA and 10-5M indoleacetic acid or NAA. Considering these two factors and the percentage of rooted-shoots, we chose LS of the full strength containing no growth regulators as a rooting medium.",,"The rooted cultures were transplanted in the following potting mixtures : vermiculite only, a 6:2:2 vermiculite:sand:peat containing 1% slaked lime, 7:3 soil:sterile leaf mold or 4:3:3 soil:sand:peat containing 1% slaked lime mixture.",,,,,,,,,,,
28,Bupleurum falcatum L.,30,Bupleurum_falcatum-Ref-1,30,Bupleurum_falcatum-Ref-1,"Hiraoka N. et al., Plant Cell Reports 5: 319-321(1986)","Various characteristics including the saponin content in the root of Bupleurum falcatum plants propagated in vitro through somatic embryogenesis of callus cultures were compared with those of the plants propagated by seeds. The asexually propagated plants had an aerial part of more uniform characteristics than those of sexually propagated ones. However, both the mean and variance of root weight of the former were significantly larger than those of the latter. As for the saponin content of the root on a dry weight basis, there was little difference between the two groups. The amounts of saikosaponins c and d in a root were significantly larger in the asexually propagated plants than in the sexually propagated ones.",,,,,,,,,,,,,,,,,,,
69,Cannabis sativa L.,60,Cannabis_sativa-Ref-1,60,Cannabis_sativa-Ref-1,"Hemant L. et al., In Vitro Cellular & Developmental Biology -Plant- 45:12–19 (2009)","Induction of high-frequency shoot regeneration using nodal segments containing axillary buds from a 1-yrold mother plants of Cannabis sativa was achieved on Murashige and Skoog (MS) medium containing 0.05–5.0 μM thidiazuron. The quality and quantity of regenerants were better with thidiazuron (0.5 μM thidiazuron) than with benzyladenine or kinetin. Adding 7.0 μM of gibberellic acid into a medium containing 0.5 μM thidiazuron slightly increased shoot growth. Elongated shoots when transferred to half-strength MS medium supplemented with 500 mg l−1 activated charcoal and 2.5 μM indole-3-butyric acid resulted in 95% rooting. The rooted plants were successfully acclimatized in soil. Following acclimatization, growth performance of 4-mo-old in vitro propagated plants was compared with ex vitro vegetatively grown plants of the same age. The photosynthesis and transpiration characteristics were studied under different light levels (0, 500, 1,000, 1,500, or 2,000 μmol m−2 s−1). An increase in photosynthesis was observed with increase in the light intensity up to 1,500 μmol m−2 s−1 and then decreased subsequently at higher light levels in both types of plants. However, the increase was more pronounced at lower light intensities below 500 μmol m−2 s−1. Stomatal conductance and transpiration increased with light intensity up to highest level (2000 μmol m−2 s−1) tested. Intercellular CO2 concentration (Ci) and the ratio of intercellular CO2 concentration to ambient CO2 (Ci/Ca) decreased with the increase in light intensity in both in vitro as well as ex vitro raised plants. The results show that in vitro propagated and hardened plants were functionally comparable to ex vitro plants of same age in terms of gas and water vapor exchange characteristics, within the limits of this study.",large scale clonal production of screened and selected high yielding elite clones,"screened and selected high-yielding C. sativa variety (MX-1) grown in a indoor cultivation facility housed at Coy-Waller laboratory, University of Mississippi.",nodal segments containing axillary buds (～1 cm in length),Explants were surface-disinfected using 0.5% NaOCl and 0.1% Tween 20 for 20 min. The explants were washed in sterile distilled water three times for 5 min prior to inoculation on the culture medium.,"(Shoot proliferation and multiplication) Disinfected explants were inoculated on MS medium containing 3% (w/v) sucrose, 0.8% (w/v) type E agar (Sigma Chemical Co., St. Louis, MO) supplemented with 0.5μM TDZ in combination with 0.7μM GA3 adjusted to pH 5.7. Cultures were incubated at 25±2°C with 16-h photoperiod under fluorescent light with a photon flux of ≈52 μmol m−2 s−1.",(Induction of rooting) The percentage of rooting from 2.5 cm length shoots was 80–95% on media 1/2-MS containing 2.5-5.0 μM IBA and 500 mg l−1 activated charcoal. Cultures were incubated at 25±2°C with 16-h photoperiod under fluorescent light with a photon flux of ≈52 μmol m−2 s−1.,(Acclimatization) Rooted plantlets were successfully transferred to thermocol cups containing potting mix. The plants attained 14-16 cm height exhibited 95% survival rate 8 wk after transfer.,,,The acclimatized plants exhibited normal development and no gross morphological variation was observed.,,,,,,,,,
156,Chrysanthemum indicum Linné,69,Chrysanthemum_indicum-Ref-1,69,Chrysanthemum_indicum-Ref-1,"Fukai S et al, Euphytica 54: 201-204 (1991)","The shoot tips of Chrysanthemum morifolium (syn. Dendranthema grandiflorum) and related species native to Japan were cryopreserved using preculture for 2 days, slow cooling (0.2 ° C/min) until - 40 ° C with 10% dimethyl sulphoxide and 3% glucose prior to immersion into LN2 and rapid thawing. High survival rates were observed in 3 cultivars of chrysanthemum, 12 species and 2 interspecific hybrids, and slightly low survival rates in 3 species. The shoot regeneration rates of the frozen shoot tips varied from 9.4 to 100% depending on species. Shoot tips of chrysanthemum showed high viability even after a storage of 8 months in LN2. The thawed chrysanthemum shoot tips grew and flowered normally in a greenhouse under natural conditions.",This study was carried out to clarify the applicability of this freezing method to the related species of chrysanthemum.,Shoot tips were excised from mother plants growing in a greenhouse under night break (22:00--02:00).,,"The excised shoot tips were precultured on MS medium supplemented with 0.1 mg/1 BA, 1.0 mg/l NAA, 20 g/1 sucrose, 8 g/l agar and 5% (v/v) DMSO at 25 ° C under a constant fluorescent light at 19/xmol/s/m 2 for 2 days.",,,,,,,,,,,,,,,
156,Chrysanthemum indicum Linné,105,Chrysanthemum_indicum-Ref-2,105,Chrysanthemum_indicum-Ref-2,"A. Zafarullah,S. Ilyas, S. Naz, F. Aslam and F. Manzoor, Pakistan Journal of Science 65(4): 462-466 (2013)","A rapid shoot multiplication of Chrysanthemum(Chrysanthemum indicum L.) has been optimized in the present study. Apical meristems were used as explants and inoculated on MS media supplemented with various concentrations of growth regulators. The effects of different phytohormones (BAP, NAA, IAA and IBA) were tested for their effect on enhancement of shoot multiplication. MS medium fortified with BAP 1.0 + IAA 0.1 mg/l had a promotory effect on the initiation and multiplication of micro shoots. The optimum shoot formation response was 82% with 5.20 average number of shoots per explants and acquired maximum length of 4.9 cm. Rooting study revealed that MS medium supplemented with IBA 0.1 mg/l were proved to be superior with maximum (85%) rooting, 2.7 roots per explants and 2.5 cm root length. Then plantlets were shifted in Green house for acclimatization.",A rapid shoot multiplication of Chrysanthemum(Chrysanthemum indicum L.) has been optimized in the present study.,"Chrysanthemum plants were collected from the Lawrence garden and Botanical garden of Lahore College for Women University (LCWU), Lahore Pakistan","For surface sterilization all apical meristem were taken from upper portions of the plants. After removing the leaves, apical meristems were separated with the help of fine scissor and washed with tap water for several times to remove the dust particles without damaging the young and delicate tissues. Then explants were washed and cleaned with detergent and later on rinsed with distilled water to remove traces of detergent. At the end, all the explants were dipped in commercial Sodium Hypochlorite solution (15-20%) for 15-20 minute. After this treatment, the explants were rinsed with autoclaved distilled water four-five times, so as to remove and lower the toxic effect of Sodium Hypochlorite.",MS medium supplemented with BAP 1 mg/l+ IAA 0.1 mg/l,MS medium supplemented with BAP 1 mg/l+ IAA 0.1 mg/l,MS medium supplemented with IBA 0.1 mg/l,Plantlets were shifted in green house for acclimatization.,,,,,,,,,,,,
155,Chrysanthemum morifolium Ramatulle,68,Chrysanthemum_morifolium-Ref-1,68,Chrysanthemum_morifolium-Ref-1,"Kaul V et al, Plant Cell, Tissue and Organ Culture 21: 21-30 (1990)","Adventitious shoots were regenerated from leaf and stem explants of eleven chrysanthemum cultivars. The optimum medium for both explant types contained Murashige & Skoog basal medium supplemented with 5μM 6-benzylaminopurine and 5μM e-napthaleneacetic acid. Generally, stem explants were superior to leaf explants. There were large cultivar differences in shoot regeneration frequency with three cultivars failing to respond over a wide range of hormone combinations. Shoots on stem explants appeared mainly to originate from cortical cells which rapidly divided and ruptured the epidermis. Regenerated shoots could be easily rooted, transferred to glasshouse conditions, and grown to flowering. All regenerated plants had the same morphological characteristics compared to plants derived from nodes.",Adventitious shoots formation from leaf and stem explants,"The cultivars used were: 'Eve Gray', 'Hurricane','Montrose Pink', 'Vulcan', 'Royal Purple', 'Lillian Hoek Red', 'Woking Scarlet', 'Blue Ridge', 'Red Cap', 'Red Fandango' and 'Dark Chip'. All were obtained as certified pathogen-free cultures from the Plant Research Institute (Victoria, Australia) except 'Hurricane', 'Montrose Pink' and 'Eve Gray' which were obtained from a local commercial laboratory.",nodal explants and shoot tips,Shoot cultures were maintained by sub-culturing nodal explants and shoot tips at 6-week intervals on MS medium with 0.8% (w/v) Difco bacto agar and incubated at 25°C under a 16h/8h photoperiod.,The optimum medium for both explant types contained Murashige & Skoog basal medium supplemented with 5μM 6-BA and 5μM e-NAA.,on hormone-free MS media,Plants were transferred to peat pots containing vermiculite:perlite (1:1 v/v) and kept under high humidity for 2 weeks prior to transfer to potting mix and standard glasshouse conditions.,,in greenhouse,"A range of morphological characteristics including leaf shape and size, growth habit and flowering were regularly observed.",,,,,,,,,
